DEBUG:root:Creating folder `./models/2020-09-23_112843`
INFO:root:Saving configuration file in `/home/paperspace/learning-to-learn/models/2020-09-23_112843/config.json`
cuda
Namespace(batch_size=25, dataset='quickdraw', first_order=False, folder='/storage/smb79ck2/ndata/', hidden_size=20, meta_lr=0.001, num_batches=100, num_epochs=50, num_shots=10, num_shots_test=10, num_steps=5, num_training_samples=100, num_ways=10, num_workers=1, output_folder='./models', random_seed=123, step_size=0.01, use_cuda=True, verbose=True)
epoch           train loss      train acc       train prec      val loss        val acc         val prec     
1               1.83773         0.38704         0.38881         1.53362         0.52109         0.52592      
2               1.27224         0.60436         0.61833         1.24854         0.60988         0.62419      
3               1.07649         0.66488         0.68016         1.12595         0.64985         0.66237      
4               0.99270         0.69046         0.70575         1.07114         0.66636         0.67792      
5               0.95171         0.70480         0.71913         1.06959         0.66811         0.68035      
6               0.89183         0.72058         0.73391         1.00972         0.68381         0.69641      
7               0.85825         0.73192         0.74557         1.01470         0.68528         0.69774      
8               0.84111         0.73675         0.75089         0.99380         0.68883         0.70224      
9               0.80266         0.74880         0.76235         0.96008         0.70154         0.71411      
10              0.79084         0.75332         0.76631         0.95014         0.70329         0.71594      
11              0.77013         0.75908         0.77187         0.93503         0.70790         0.71840      
12              0.77508         0.75812         0.77102         0.94907         0.70344         0.71496      
13              0.76222         0.76196         0.77457         0.91884         0.71292         0.72438      
14              0.72339         0.77535         0.78818         0.91174         0.71681         0.72942      
15              0.75481         0.76402         0.77683         0.94989         0.70357         0.71568      
16              0.72151         0.77422         0.78673         0.90336         0.71938         0.73000      
17              0.72758         0.77355         0.78626         0.93596         0.70984         0.72104      
18              0.69474         0.78011         0.79247         0.90050         0.71875         0.72921      
19              0.69161         0.78114         0.79290         0.92286         0.71286         0.72248      
20              0.68119         0.78446         0.79593         0.90446         0.71864         0.72904      
21              0.67238         0.78774         0.79900         0.91251         0.71640         0.72737      
22              0.68286         0.78361         0.79542         0.90615         0.71885         0.72945      
23              0.66534         0.78990         0.80141         0.89427         0.72138         0.73182      
24              0.65586         0.79200         0.80317         0.89065         0.72379         0.73250      
25              0.65480         0.79224         0.80392         0.89069         0.72104         0.73134      
26              0.64099         0.79607         0.80729         0.90247         0.71985         0.73065      
27              0.63508         0.79832         0.80932         0.89617         0.72097         0.73111      
28              0.64047         0.79644         0.80784         0.91738         0.71390         0.72569      
29              0.67086         0.78746         0.80002         0.89190         0.72296         0.73496      
30              0.62256         0.80184         0.81343         0.89312         0.72210         0.73219      
31              0.62119         0.80156         0.81260         0.90626         0.71910         0.72905      
32              0.65610         0.79288         0.80476         0.90557         0.71769         0.72893      
33              0.63721         0.79869         0.81064         0.89674         0.72086         0.73188      
34              0.69812         0.77900         0.79154         0.92456         0.71085         0.72251      
35              0.66193         0.79080         0.80284         0.89948         0.72056         0.73237      
36              0.62954         0.79958         0.81081         0.89138         0.72111         0.73220      
37              0.62425         0.80053         0.81184         0.89953         0.71975         0.72960      
38              0.62496         0.80091         0.81211         0.89404         0.72215         0.73279      
39              0.62052         0.80140         0.81262         0.92626         0.71115         0.72183      
40              0.61482         0.80259         0.81383         0.90034         0.72167         0.73227      
41              0.67484         0.78748         0.79992         0.94778         0.70470         0.71664      
42              0.67451         0.78850         0.80101         0.94502         0.70580         0.71675      
43              0.63897         0.79794         0.80986         0.89730         0.72123         0.73238      
44              0.61397         0.80443         0.81537         0.90618         0.71925         0.72953      
45              0.62623         0.80054         0.81234         0.90894         0.71681         0.72763      
46              0.61982         0.80257         0.81387         0.87820         0.72647         0.73740      
47              0.59374         0.80944         0.82067         0.88513         0.72660         0.73660      
48              0.59558         0.80853         0.81977         0.89674         0.72057         0.73100      
49              0.60711         0.80537         0.81634         0.89657         0.72155         0.73089      
50              0.61937         0.80216         0.81363         0.89517         0.72203         0.73196      
